"bid","analyte"
6,"unknown6"
7,"unknown7"
11,"unknown11"
12,"unknown12"
13,"unknown13"
14,"unknown14"
16,"unknown16"
17,"unknown17"
18,"unknown18"
19,"unknown19"
20,"unknown20"
21,"unknown21"
22,"unknown22"
23,"unknown23"
24,"unknown24"
25,"unknown25"
26,"unknown26"
27,"unknown27"
28,"unknown28"
29,"unknown29"
30,"unknown30"
32,"unknown32"
33,"unknown33"
34,"unknown34"
35,"unknown35"
36,"unknown36"
37,"unknown37"
38,"unknown38"
39,"unknown39"
42,"unknown42"
43,"unknown43"
44,"unknown44"
45,"unknown45"
46,"unknown46"
48,"unknown48"
49,"unknown49"
51,"unknown51"
52,"unknown52"
55,"unknown55"
56,"unknown56"
58,"unknown58"
61,"unknown61"
62,"unknown62"
63,"unknown63"
65,"unknown65"
73,"unknown73"
79,"unknown79"
85,"unknown85"
86,"unknown86"
88,"unknown88"
90,"unknown90"
97,"unknown97"
98,"unknown98"
99,"unknown99"
100,"unknown100"
