"bid","analyte"
2,"unknown2"
4,"unknown4"
6,"unknown6"
8,"unknown8"
10,"unknown10"
12,"unknown12"
14,"unknown14"
16,"unknown16"
18,"unknown18"
20,"unknown20"
22,"unknown22"
24,"unknown24"
26,"unknown26"
28,"unknown28"
30,"unknown30"
32,"unknown32"
34,"unknown34"
36,"unknown36"
38,"unknown38"
40,"unknown40"
42,"unknown42"
44,"unknown44"
46,"unknown46"
48,"unknown48"
50,"unknown50"
52,"unknown52"
54,"unknown54"
56,"unknown56"
58,"unknown58"
60,"unknown60"
62,"unknown62"
64,"unknown64"
66,"unknown66"
68,"unknown68"
70,"unknown70"
72,"unknown72"
74,"unknown74"
76,"unknown76"
78,"unknown78"
80,"unknown80"
82,"unknown82"
86,"unknown86"
