"plate","filename","well","sample_id"
"plate1","3_15_12_Plate1Gerlinde.xml","A1","3_15_12_Plate1Gerlinde_plate1_A1"
"plate1","3_15_12_Plate1Gerlinde.xml","A2","3_15_12_Plate1Gerlinde_plate1_A2"
"plate1","3_15_12_Plate1Gerlinde.xml","A3","3_15_12_Plate1Gerlinde_plate1_A3"
"plate1","3_15_12_Plate1Gerlinde.xml","A4","3_15_12_Plate1Gerlinde_plate1_A4"
"plate1","3_15_12_Plate1Gerlinde.xml","A5","3_15_12_Plate1Gerlinde_plate1_A5"
"plate1","3_15_12_Plate1Gerlinde.xml","A6","3_15_12_Plate1Gerlinde_plate1_A6"
"plate1","3_15_12_Plate1Gerlinde.xml","A7","3_15_12_Plate1Gerlinde_plate1_A7"
"plate1","3_15_12_Plate1Gerlinde.xml","A8","3_15_12_Plate1Gerlinde_plate1_A8"
"plate1","3_15_12_Plate1Gerlinde.xml","A9","3_15_12_Plate1Gerlinde_plate1_A9"
"plate1","3_15_12_Plate1Gerlinde.xml","A10","3_15_12_Plate1Gerlinde_plate1_A10"
"plate1","3_15_12_Plate1Gerlinde.xml","A11","3_15_12_Plate1Gerlinde_plate1_A11"
"plate1","3_15_12_Plate1Gerlinde.xml","A12","3_15_12_Plate1Gerlinde_plate1_A12"
"plate1","3_15_12_Plate1Gerlinde.xml","B1","3_15_12_Plate1Gerlinde_plate1_B1"
"plate1","3_15_12_Plate1Gerlinde.xml","B2","3_15_12_Plate1Gerlinde_plate1_B2"
"plate1","3_15_12_Plate1Gerlinde.xml","B3","3_15_12_Plate1Gerlinde_plate1_B3"
"plate1","3_15_12_Plate1Gerlinde.xml","B4","3_15_12_Plate1Gerlinde_plate1_B4"
"plate1","3_15_12_Plate1Gerlinde.xml","B5","3_15_12_Plate1Gerlinde_plate1_B5"
"plate1","3_15_12_Plate1Gerlinde.xml","B6","3_15_12_Plate1Gerlinde_plate1_B6"
"plate1","3_15_12_Plate1Gerlinde.xml","B7","3_15_12_Plate1Gerlinde_plate1_B7"
"plate1","3_15_12_Plate1Gerlinde.xml","B8","3_15_12_Plate1Gerlinde_plate1_B8"
"plate1","3_15_12_Plate1Gerlinde.xml","B9","3_15_12_Plate1Gerlinde_plate1_B9"
"plate1","3_15_12_Plate1Gerlinde.xml","B10","3_15_12_Plate1Gerlinde_plate1_B10"
"plate1","3_15_12_Plate1Gerlinde.xml","B11","3_15_12_Plate1Gerlinde_plate1_B11"
"plate1","3_15_12_Plate1Gerlinde.xml","B12","3_15_12_Plate1Gerlinde_plate1_B12"
"plate1","3_15_12_Plate1Gerlinde.xml","C1","3_15_12_Plate1Gerlinde_plate1_C1"
"plate1","3_15_12_Plate1Gerlinde.xml","C2","3_15_12_Plate1Gerlinde_plate1_C2"
"plate1","3_15_12_Plate1Gerlinde.xml","C3","3_15_12_Plate1Gerlinde_plate1_C3"
"plate1","3_15_12_Plate1Gerlinde.xml","C4","3_15_12_Plate1Gerlinde_plate1_C4"
"plate1","3_15_12_Plate1Gerlinde.xml","C5","3_15_12_Plate1Gerlinde_plate1_C5"
"plate1","3_15_12_Plate1Gerlinde.xml","C6","3_15_12_Plate1Gerlinde_plate1_C6"
"plate1","3_15_12_Plate1Gerlinde.xml","C7","3_15_12_Plate1Gerlinde_plate1_C7"
"plate1","3_15_12_Plate1Gerlinde.xml","C8","3_15_12_Plate1Gerlinde_plate1_C8"
"plate1","3_15_12_Plate1Gerlinde.xml","C9","3_15_12_Plate1Gerlinde_plate1_C9"
"plate1","3_15_12_Plate1Gerlinde.xml","C10","3_15_12_Plate1Gerlinde_plate1_C10"
"plate1","3_15_12_Plate1Gerlinde.xml","C11","3_15_12_Plate1Gerlinde_plate1_C11"
"plate1","3_15_12_Plate1Gerlinde.xml","C12","3_15_12_Plate1Gerlinde_plate1_C12"
"plate1","3_15_12_Plate1Gerlinde.xml","D1","3_15_12_Plate1Gerlinde_plate1_D1"
"plate1","3_15_12_Plate1Gerlinde.xml","D2","3_15_12_Plate1Gerlinde_plate1_D2"
"plate1","3_15_12_Plate1Gerlinde.xml","D3","3_15_12_Plate1Gerlinde_plate1_D3"
"plate1","3_15_12_Plate1Gerlinde.xml","D4","3_15_12_Plate1Gerlinde_plate1_D4"
"plate1","3_15_12_Plate1Gerlinde.xml","D5","3_15_12_Plate1Gerlinde_plate1_D5"
"plate1","3_15_12_Plate1Gerlinde.xml","D6","3_15_12_Plate1Gerlinde_plate1_D6"
"plate1","3_15_12_Plate1Gerlinde.xml","D7","3_15_12_Plate1Gerlinde_plate1_D7"
"plate1","3_15_12_Plate1Gerlinde.xml","D8","3_15_12_Plate1Gerlinde_plate1_D8"
"plate1","3_15_12_Plate1Gerlinde.xml","D9","3_15_12_Plate1Gerlinde_plate1_D9"
"plate1","3_15_12_Plate1Gerlinde.xml","D10","3_15_12_Plate1Gerlinde_plate1_D10"
"plate1","3_15_12_Plate1Gerlinde.xml","D11","3_15_12_Plate1Gerlinde_plate1_D11"
"plate1","3_15_12_Plate1Gerlinde.xml","D12","3_15_12_Plate1Gerlinde_plate1_D12"
"plate1","3_15_12_Plate1Gerlinde.xml","E1","3_15_12_Plate1Gerlinde_plate1_E1"
"plate1","3_15_12_Plate1Gerlinde.xml","E2","3_15_12_Plate1Gerlinde_plate1_E2"
"plate1","3_15_12_Plate1Gerlinde.xml","E3","3_15_12_Plate1Gerlinde_plate1_E3"
"plate1","3_15_12_Plate1Gerlinde.xml","E4","3_15_12_Plate1Gerlinde_plate1_E4"
"plate1","3_15_12_Plate1Gerlinde.xml","E5","3_15_12_Plate1Gerlinde_plate1_E5"
"plate1","3_15_12_Plate1Gerlinde.xml","E6","3_15_12_Plate1Gerlinde_plate1_E6"
"plate1","3_15_12_Plate1Gerlinde.xml","E7","3_15_12_Plate1Gerlinde_plate1_E7"
"plate1","3_15_12_Plate1Gerlinde.xml","E8","3_15_12_Plate1Gerlinde_plate1_E8"
"plate1","3_15_12_Plate1Gerlinde.xml","E9","3_15_12_Plate1Gerlinde_plate1_E9"
"plate1","3_15_12_Plate1Gerlinde.xml","E10","3_15_12_Plate1Gerlinde_plate1_E10"
"plate1","3_15_12_Plate1Gerlinde.xml","E11","3_15_12_Plate1Gerlinde_plate1_E11"
"plate1","3_15_12_Plate1Gerlinde.xml","E12","3_15_12_Plate1Gerlinde_plate1_E12"
"plate1","3_15_12_Plate1Gerlinde.xml","F1","3_15_12_Plate1Gerlinde_plate1_F1"
"plate1","3_15_12_Plate1Gerlinde.xml","F2","3_15_12_Plate1Gerlinde_plate1_F2"
"plate1","3_15_12_Plate1Gerlinde.xml","F3","3_15_12_Plate1Gerlinde_plate1_F3"
"plate1","3_15_12_Plate1Gerlinde.xml","F4","3_15_12_Plate1Gerlinde_plate1_F4"
"plate1","3_15_12_Plate1Gerlinde.xml","F5","3_15_12_Plate1Gerlinde_plate1_F5"
"plate1","3_15_12_Plate1Gerlinde.xml","F6","3_15_12_Plate1Gerlinde_plate1_F6"
"plate1","3_15_12_Plate1Gerlinde.xml","F7","3_15_12_Plate1Gerlinde_plate1_F7"
"plate1","3_15_12_Plate1Gerlinde.xml","F8","3_15_12_Plate1Gerlinde_plate1_F8"
"plate1","3_15_12_Plate1Gerlinde.xml","F9","3_15_12_Plate1Gerlinde_plate1_F9"
"plate1","3_15_12_Plate1Gerlinde.xml","F10","3_15_12_Plate1Gerlinde_plate1_F10"
"plate1","3_15_12_Plate1Gerlinde.xml","F11","3_15_12_Plate1Gerlinde_plate1_F11"
"plate1","3_15_12_Plate1Gerlinde.xml","F12","3_15_12_Plate1Gerlinde_plate1_F12"
"plate1","3_15_12_Plate1Gerlinde.xml","G1","3_15_12_Plate1Gerlinde_plate1_G1"
"plate1","3_15_12_Plate1Gerlinde.xml","G2","3_15_12_Plate1Gerlinde_plate1_G2"
"plate1","3_15_12_Plate1Gerlinde.xml","G3","3_15_12_Plate1Gerlinde_plate1_G3"
"plate1","3_15_12_Plate1Gerlinde.xml","G4","3_15_12_Plate1Gerlinde_plate1_G4"
"plate1","3_15_12_Plate1Gerlinde.xml","G5","3_15_12_Plate1Gerlinde_plate1_G5"
"plate1","3_15_12_Plate1Gerlinde.xml","G6","3_15_12_Plate1Gerlinde_plate1_G6"
"plate1","3_15_12_Plate1Gerlinde.xml","G7","3_15_12_Plate1Gerlinde_plate1_G7"
"plate1","3_15_12_Plate1Gerlinde.xml","G8","3_15_12_Plate1Gerlinde_plate1_G8"
"plate1","3_15_12_Plate1Gerlinde.xml","G9","3_15_12_Plate1Gerlinde_plate1_G9"
"plate1","3_15_12_Plate1Gerlinde.xml","G10","3_15_12_Plate1Gerlinde_plate1_G10"
"plate1","3_15_12_Plate1Gerlinde.xml","G11","3_15_12_Plate1Gerlinde_plate1_G11"
"plate1","3_15_12_Plate1Gerlinde.xml","G12","3_15_12_Plate1Gerlinde_plate1_G12"
"plate1","3_15_12_Plate1Gerlinde.xml","H1","3_15_12_Plate1Gerlinde_plate1_H1"
"plate1","3_15_12_Plate1Gerlinde.xml","H2","3_15_12_Plate1Gerlinde_plate1_H2"
"plate1","3_15_12_Plate1Gerlinde.xml","H3","3_15_12_Plate1Gerlinde_plate1_H3"
"plate1","3_15_12_Plate1Gerlinde.xml","H4","3_15_12_Plate1Gerlinde_plate1_H4"
"plate1","3_15_12_Plate1Gerlinde.xml","H5","3_15_12_Plate1Gerlinde_plate1_H5"
"plate1","3_15_12_Plate1Gerlinde.xml","H6","3_15_12_Plate1Gerlinde_plate1_H6"
"plate1","3_15_12_Plate1Gerlinde.xml","H7","3_15_12_Plate1Gerlinde_plate1_H7"
"plate1","3_15_12_Plate1Gerlinde.xml","H8","3_15_12_Plate1Gerlinde_plate1_H8"
"plate1","3_15_12_Plate1Gerlinde.xml","H9","3_15_12_Plate1Gerlinde_plate1_H9"
"plate1","3_15_12_Plate1Gerlinde.xml","H10","3_15_12_Plate1Gerlinde_plate1_H10"
"plate1","3_15_12_Plate1Gerlinde.xml","H11","3_15_12_Plate1Gerlinde_plate1_H11"
"plate1","3_15_12_Plate1Gerlinde.xml","H12","3_15_12_Plate1Gerlinde_plate1_H12"
