"plate","filename","well","sample_id"
"plate1","09-082-002 SB01 Plate 1_P1_A10.lxb","A10","09-082-002 SB01 Plate 1_P1_A10_plate1_A10"
"plate1","09-082-002 SB01 Plate 1_P1_A11.lxb","A11","09-082-002 SB01 Plate 1_P1_A11_plate1_A11"
"plate1","09-082-002 SB01 Plate 1_P1_A12.lxb","A12","09-082-002 SB01 Plate 1_P1_A12_plate1_A12"
"plate1","09-082-002 SB01 Plate 1_P1_A1.lxb","A1","09-082-002 SB01 Plate 1_P1_A1_plate1_A1"
"plate1","09-082-002 SB01 Plate 1_P1_A2.lxb","A2","09-082-002 SB01 Plate 1_P1_A2_plate1_A2"
"plate1","09-082-002 SB01 Plate 1_P1_A3.lxb","A3","09-082-002 SB01 Plate 1_P1_A3_plate1_A3"
"plate1","09-082-002 SB01 Plate 1_P1_A4.lxb","A4","09-082-002 SB01 Plate 1_P1_A4_plate1_A4"
"plate1","09-082-002 SB01 Plate 1_P1_A5.lxb","A5","09-082-002 SB01 Plate 1_P1_A5_plate1_A5"
"plate1","09-082-002 SB01 Plate 1_P1_A6.lxb","A6","09-082-002 SB01 Plate 1_P1_A6_plate1_A6"
"plate1","09-082-002 SB01 Plate 1_P1_A7.lxb","A7","09-082-002 SB01 Plate 1_P1_A7_plate1_A7"
"plate1","09-082-002 SB01 Plate 1_P1_A8.lxb","A8","09-082-002 SB01 Plate 1_P1_A8_plate1_A8"
"plate1","09-082-002 SB01 Plate 1_P1_A9.lxb","A9","09-082-002 SB01 Plate 1_P1_A9_plate1_A9"
"plate1","09-082-002 SB01 Plate 1_P1_B10.lxb","B10","09-082-002 SB01 Plate 1_P1_B10_plate1_B10"
"plate1","09-082-002 SB01 Plate 1_P1_B11.lxb","B11","09-082-002 SB01 Plate 1_P1_B11_plate1_B11"
"plate1","09-082-002 SB01 Plate 1_P1_B12.lxb","B12","09-082-002 SB01 Plate 1_P1_B12_plate1_B12"
"plate1","09-082-002 SB01 Plate 1_P1_B1.lxb","B1","09-082-002 SB01 Plate 1_P1_B1_plate1_B1"
"plate1","09-082-002 SB01 Plate 1_P1_B2.lxb","B2","09-082-002 SB01 Plate 1_P1_B2_plate1_B2"
"plate1","09-082-002 SB01 Plate 1_P1_B3.lxb","B3","09-082-002 SB01 Plate 1_P1_B3_plate1_B3"
"plate1","09-082-002 SB01 Plate 1_P1_B4.lxb","B4","09-082-002 SB01 Plate 1_P1_B4_plate1_B4"
"plate1","09-082-002 SB01 Plate 1_P1_B5.lxb","B5","09-082-002 SB01 Plate 1_P1_B5_plate1_B5"
"plate1","09-082-002 SB01 Plate 1_P1_B6.lxb","B6","09-082-002 SB01 Plate 1_P1_B6_plate1_B6"
"plate1","09-082-002 SB01 Plate 1_P1_B7.lxb","B7","09-082-002 SB01 Plate 1_P1_B7_plate1_B7"
"plate1","09-082-002 SB01 Plate 1_P1_B8.lxb","B8","09-082-002 SB01 Plate 1_P1_B8_plate1_B8"
"plate1","09-082-002 SB01 Plate 1_P1_B9.lxb","B9","09-082-002 SB01 Plate 1_P1_B9_plate1_B9"
"plate1","09-082-002 SB01 Plate 1_P1_C10.lxb","C10","09-082-002 SB01 Plate 1_P1_C10_plate1_C10"
"plate1","09-082-002 SB01 Plate 1_P1_C11.lxb","C11","09-082-002 SB01 Plate 1_P1_C11_plate1_C11"
"plate1","09-082-002 SB01 Plate 1_P1_C12.lxb","C12","09-082-002 SB01 Plate 1_P1_C12_plate1_C12"
"plate1","09-082-002 SB01 Plate 1_P1_C1.lxb","C1","09-082-002 SB01 Plate 1_P1_C1_plate1_C1"
"plate1","09-082-002 SB01 Plate 1_P1_C2.lxb","C2","09-082-002 SB01 Plate 1_P1_C2_plate1_C2"
"plate1","09-082-002 SB01 Plate 1_P1_C3.lxb","C3","09-082-002 SB01 Plate 1_P1_C3_plate1_C3"
"plate1","09-082-002 SB01 Plate 1_P1_C4.lxb","C4","09-082-002 SB01 Plate 1_P1_C4_plate1_C4"
"plate1","09-082-002 SB01 Plate 1_P1_C5.lxb","C5","09-082-002 SB01 Plate 1_P1_C5_plate1_C5"
"plate1","09-082-002 SB01 Plate 1_P1_C6.lxb","C6","09-082-002 SB01 Plate 1_P1_C6_plate1_C6"
"plate1","09-082-002 SB01 Plate 1_P1_C7.lxb","C7","09-082-002 SB01 Plate 1_P1_C7_plate1_C7"
"plate1","09-082-002 SB01 Plate 1_P1_C8.lxb","C8","09-082-002 SB01 Plate 1_P1_C8_plate1_C8"
"plate1","09-082-002 SB01 Plate 1_P1_C9.lxb","C9","09-082-002 SB01 Plate 1_P1_C9_plate1_C9"
"plate1","09-082-002 SB01 Plate 1_P1_D10.lxb","D10","09-082-002 SB01 Plate 1_P1_D10_plate1_D10"
"plate1","09-082-002 SB01 Plate 1_P1_D11.lxb","D11","09-082-002 SB01 Plate 1_P1_D11_plate1_D11"
"plate1","09-082-002 SB01 Plate 1_P1_D12.lxb","D12","09-082-002 SB01 Plate 1_P1_D12_plate1_D12"
"plate1","09-082-002 SB01 Plate 1_P1_D1.lxb","D1","09-082-002 SB01 Plate 1_P1_D1_plate1_D1"
"plate1","09-082-002 SB01 Plate 1_P1_D2.lxb","D2","09-082-002 SB01 Plate 1_P1_D2_plate1_D2"
"plate1","09-082-002 SB01 Plate 1_P1_D3.lxb","D3","09-082-002 SB01 Plate 1_P1_D3_plate1_D3"
"plate1","09-082-002 SB01 Plate 1_P1_D4.lxb","D4","09-082-002 SB01 Plate 1_P1_D4_plate1_D4"
"plate1","09-082-002 SB01 Plate 1_P1_D5.lxb","D5","09-082-002 SB01 Plate 1_P1_D5_plate1_D5"
"plate1","09-082-002 SB01 Plate 1_P1_D6.lxb","D6","09-082-002 SB01 Plate 1_P1_D6_plate1_D6"
"plate1","09-082-002 SB01 Plate 1_P1_D7.lxb","D7","09-082-002 SB01 Plate 1_P1_D7_plate1_D7"
"plate1","09-082-002 SB01 Plate 1_P1_D8.lxb","D8","09-082-002 SB01 Plate 1_P1_D8_plate1_D8"
"plate1","09-082-002 SB01 Plate 1_P1_D9.lxb","D9","09-082-002 SB01 Plate 1_P1_D9_plate1_D9"
"plate1","09-082-002 SB01 Plate 1_P1_E10.lxb","E10","09-082-002 SB01 Plate 1_P1_E10_plate1_E10"
"plate1","09-082-002 SB01 Plate 1_P1_E11.lxb","E11","09-082-002 SB01 Plate 1_P1_E11_plate1_E11"
"plate1","09-082-002 SB01 Plate 1_P1_E12.lxb","E12","09-082-002 SB01 Plate 1_P1_E12_plate1_E12"
"plate1","09-082-002 SB01 Plate 1_P1_E1.lxb","E1","09-082-002 SB01 Plate 1_P1_E1_plate1_E1"
"plate1","09-082-002 SB01 Plate 1_P1_E2.lxb","E2","09-082-002 SB01 Plate 1_P1_E2_plate1_E2"
"plate1","09-082-002 SB01 Plate 1_P1_E3.lxb","E3","09-082-002 SB01 Plate 1_P1_E3_plate1_E3"
"plate1","09-082-002 SB01 Plate 1_P1_E4.lxb","E4","09-082-002 SB01 Plate 1_P1_E4_plate1_E4"
"plate1","09-082-002 SB01 Plate 1_P1_E5.lxb","E5","09-082-002 SB01 Plate 1_P1_E5_plate1_E5"
"plate1","09-082-002 SB01 Plate 1_P1_E6.lxb","E6","09-082-002 SB01 Plate 1_P1_E6_plate1_E6"
"plate1","09-082-002 SB01 Plate 1_P1_E7.lxb","E7","09-082-002 SB01 Plate 1_P1_E7_plate1_E7"
"plate1","09-082-002 SB01 Plate 1_P1_E8.lxb","E8","09-082-002 SB01 Plate 1_P1_E8_plate1_E8"
"plate1","09-082-002 SB01 Plate 1_P1_E9.lxb","E9","09-082-002 SB01 Plate 1_P1_E9_plate1_E9"
"plate1","09-082-002 SB01 Plate 1_P1_F10.lxb","F10","09-082-002 SB01 Plate 1_P1_F10_plate1_F10"
"plate1","09-082-002 SB01 Plate 1_P1_F11.lxb","F11","09-082-002 SB01 Plate 1_P1_F11_plate1_F11"
"plate1","09-082-002 SB01 Plate 1_P1_F12.lxb","F12","09-082-002 SB01 Plate 1_P1_F12_plate1_F12"
"plate1","09-082-002 SB01 Plate 1_P1_F1.lxb","F1","09-082-002 SB01 Plate 1_P1_F1_plate1_F1"
"plate1","09-082-002 SB01 Plate 1_P1_F2.lxb","F2","09-082-002 SB01 Plate 1_P1_F2_plate1_F2"
