"well","sample_type","concentration"
"A1","background",0
"B1","background",0
"C1","standard",0.13
"D1","standard",0.13
"E1","standard",0.64
"F1","standard",0.64
"G1","standard",3.2
"H1","standard",3.2
"A2","standard",16
"B2","standard",16
"C2","standard",80
"D2","standard",80
"E2","standard",400
"F2","standard",400
"G2","standard",2000
"H2","standard",2000
"A3","unknown",NA
"B3","unknown",NA
"C3","unknown",NA
"D3","unknown",NA
"E3","unknown",NA
"F3","unknown",NA
"G3","unknown",NA
"H3","unknown",NA
"A4","unknown",NA
"B4","unknown",NA
"C4","unknown",NA
"D4","unknown",NA
"E4","unknown",NA
"F4","unknown",NA
"G4","unknown",NA
"H4","unknown",NA
"A5","unknown",NA
"B5","unknown",NA
"C5","unknown",NA
"D5","unknown",NA
"E5","unknown",NA
"F5","unknown",NA
"G5","unknown",NA
"H5","unknown",NA
"A6","unknown",NA
"B6","unknown",NA
"C6","unknown",NA
"D6","unknown",NA
"E6","unknown",NA
"F6","unknown",NA
"G6","unknown",NA
"H6","unknown",NA
"A7","unknown",NA
"B7","unknown",NA
"C7","unknown",NA
"D7","unknown",NA
"E7","unknown",NA
"F7","unknown",NA
"G7","unknown",NA
"H7","unknown",NA
"A8","unknown",NA
"B8","unknown",NA
"C8","unknown",NA
"D8","unknown",NA
"E8","unknown",NA
"F8","unknown",NA
"G8","unknown",NA
"H8","unknown",NA
"A9","unknown",NA
"B9","unknown",NA
"C9","unknown",NA
"D9","unknown",NA
"E9","unknown",NA
"F9","unknown",NA
"G9","unknown",NA
"H9","unknown",NA
"A10","unknown",NA
"B10","unknown",NA
"C10","unknown",NA
"D10","unknown",NA
"E10","unknown",NA
"F10","unknown",NA
"G10","unknown",NA
"H10","unknown",NA
"A11","unknown",NA
"B11","unknown",NA
"C11","unknown",NA
"D11","unknown",NA
"E11","unknown",NA
"F11","unknown",NA
"G11","unknown",NA
"H11","unknown",NA
"A12","unknown",NA
"B12","unknown",NA
"C12","unknown",NA
"D12","unknown",NA
"E12","unknown",NA
"F12","unknown",NA
"G12","unknown",NA
"H12","unknown",NA
