"SampleID = 73"
"Batch Name: Batch,1/1/2000,00:00     Batch Description: <None>"
"EventNo" "BeadID" "IsDDGated" "DD" "CL1" "CL2" "RP1"
1 18 "True" 14845 138 225 89
2 0 "False" 15021 447 374 58
3 37 "True" 11239 1304 580 111
4 0 "False" 16596 786 703 207
5 51 "True" 9633 119 1700 5653
6 21 "True" 10498 675 206 24
7 33 "True" 11591 115 610 767
8 54 "True" 9785 682 1673 29
9 0 "False" 26263 1220 899 994
10 22 "True" 13365 1278 195 36
11 0 "True" 7786 539 1328 2
12 20 "True" 9778 400 214 4
13 27 "True" 11380 395 337 20
14 33 "True" 10232 126 617 1020
15 37 "True" 12613 1260 555 94
16 54 "True" 9663 654 1580 48
17 54 "True" 10157 710 1722 73
18 0 "False" 15237 14853 18142 1358
19 0 "False" 16226 2569 1181 38
20 37 "True" 9844 1256 568 55
21 21 "True" 10305 737 226 25
22 0 "False" 16597 778 1891 49
23 0 "False" 19259 140 1873 4110
24 28 "True" 10073 653 363 29
25 51 "True" 13230 142 1900 3296
26 100 "True" 10138 21601 16004 27
27 18 "True" 12470 129 208 16
28 42 "True" 9818 121 993 24
29 19 "True" 10358 220 213 36
30 26 "True" 13905 247 380 4
31 45 "True" 14399 734 1088 20
32 36 "True" 10284 775 703 7
33 0 "False" 17895 137 1863 3892
34 0 "False" 25149 34 2 14
35 25 "True" 14420 135 382 66
36 21 "True" 14061 726 226 6
37 99 "True" 13659 14249 17783 1947
38 47 "True" 13892 2334 1085 45
39 34 "True" 14337 229 665 7
40 51 "True" 11954 133 1826 1842
41 0 "False" 18417 811 1948 17
42 34 "True" 11531 225 621 56
43 97 "True" 10069 4108 17636 1049
44 0 "False" 15372 2346 1626 131
45 46 "True" 11503 1324 1047 318
46 35 "True" 13194 391 580 31
47 46 "True" 11166 1323 1054 84
48 20 "True" 12644 395 212 13
49 22 "True" 11573 1280 195 29
50 42 "True" 10056 127 1056 57
51 20 "True" 9993 373 205 49
52 27 "True" 10579 398 350 79
53 0 "False" 16452 794 717 1
54 42 "True" 12503 136 1082 26
55 42 "True" 14577 138 1104 76
56 21 "True" 13975 740 225 16
57 0 "False" 16624 238 676 15
58 0 "False" 18746 1512 420 39
59 41 "True" 11260 74 1122 33
60 0 "False" 16204 80 1203 4
61 18 "True" 10241 126 211 10
62 0 "False" 16640 431 666 82
63 0 "False" 15357 737 217 26
64 97 "True" 10341 4182 16923 1188
65 46 "True" 13697 1308 1057 418
66 35 "True" 13749 457 673 36
67 0 "False" 17087 422 231 13
68 36 "True" 12946 716 653 10
69 21 "True" 9992 686 207 29
70 54 "True" 12682 788 1872 92
71 19 "True" 10879 234 226 13
72 0 "False" 24664 8277 19774 884
73 20 "True" 10213 415 219 5
74 47 "True" 11234 2408 1066 232
75 28 "True" 14204 738 400 67
76 47 "True" 10512 2549 1122 118
77 34 "True" 10911 238 669 16
78 0 "False" 18760 1133 2288 60
79 0 "False" 16758 136 664 559
80 0 "False" 24997 15 4 1324
81 45 "True" 11942 721 1041 35
82 41 "True" 10240 77 1142 21
83 0 "False" 15996 137 669 423
84 43 "True" 13913 247 1169 163
85 98 "True" 11923 7474 17814 423
86 46 "True" 11074 1336 1088 394
87 0 "False" 15083 130 1792 3357
88 0 "False" 15191 1295 1051 314
89 36 "True" 10806 676 623 39
90 54 "True" 10128 711 1729 177
91 34 "True" 10913 216 607 35
92 54 "True" 10474 743 1791 50
93 0 "False" 16087 1465 399 51
94 47 "True" 12980 2434 1122 72
95 47 "True" 9859 2301 1044 20
96 0 "False" 16202 2746 1959 102
97 36 "True" 13046 699 637 35
98 47 "True" 10019 2249 1043 95
99 0 "False" 22017 13 5 5
100 56 "True" 11327 2308 1679 146
101 52 "True" 10162 234 1678 1594
102 42 "True" 10003 134 1046 59
103 54 "True" 13969 806 1904 48
104 0 "False" 25525 19705 19198 2146
105 0 "False" 15115 418 349 0
106 0 "True" 8841 8 3 4337
107 22 "True" 14589 1112 163 36
108 37 "True" 10103 1271 566 128
109 98 "True" 11199 7502 18111 199
110 37 "True" 10995 1395 621 53
111 0 "False" 25204 7626 11029 2706
112 33 "True" 9898 106 528 494
113 19 "True" 12699 232 225 8
114 37 "True" 11708 1250 567 13
115 35 "True" 12523 384 588 27
116 42 "True" 10488 134 1084 28
117 29 "True" 11174 1263 337 270
118 0 "False" 16693 258 400 16
119 0 "False" 15763 236 1647 324
120 54 "True" 10444 748 1814 66
121 0 "False" 16719 259 388 15
122 45 "True" 10408 716 1058 5
123 100 "True" 10265 20927 13347 43
124 46 "True" 10681 1249 1013 445
125 0 "True" 7975 6 0 11
126 0 "False" 17714 255 1847 9573
127 43 "True" 9376 235 1062 187
128 27 "True" 13084 375 334 49
129 0 "False" 17226 145 688 250
130 0 "False" 6793 5 0 5
131 52 "True" 10220 231 1672 937
132 37 "True" 11240 1256 566 24
133 54 "True" 11417 671 1656 32
134 25 "True" 9770 128 361 8
135 36 "True" 11463 695 646 15
136 20 "True" 14772 395 212 54
137 21 "True" 10682 737 224 15
138 44 "True" 10487 405 1030 109
139 0 "False" 16415 115 1632 4336
140 27 "True" 9676 440 377 41
141 33 "True" 14909 124 621 682
142 0 "False" 15063 245 1770 1048
143 34 "True" 11945 226 638 8
144 19 "True" 11478 232 229 42
145 47 "True" 12305 2470 1130 100
146 37 "True" 12452 1350 608 36
147 99 "True" 10097 13452 16527 1987
148 45 "True" 10156 697 1000 61
149 56 "True" 10177 2344 1688 24
150 27 "True" 11727 393 347 127
151 29 "True" 12007 1284 339 766
152 0 "False" 16918 2776 1207 152
153 54 "True" 14276 756 1872 5
154 19 "True" 11375 223 217 58
155 19 "True" 13248 232 221 16
156 0 "False" 28086 1553 753 199
157 0 "False" 15835 1394 213 43
158 33 "True" 13671 137 655 52
159 34 "True" 11932 230 665 6
160 18 "True" 10567 129 207 53
161 29 "True" 10913 1269 341 450
162 18 "True" 14735 129 209 15
163 0 "False" 16671 2646 1880 52
164 18 "True" 9383 119 190 35
165 47 "True" 14889 2531 1109 71
166 18 "True" 13508 130 209 41
167 0 "False" 15443 155 403 13
168 51 "True" 9525 115 1621 3219
169 51 "True" 9759 113 1664 4159
170 37 "True" 10824 1256 566 58
171 46 "True" 14405 1229 995 356
172 0 "False" 16999 139 1110 37
173 20 "True" 11107 404 220 21
174 0 "False" 20472 260 1837 346
175 28 "True" 10746 643 360 11
176 29 "True" 10313 1268 349 96
177 28 "True" 10333 667 363 49
178 0 "False" 16921 147 1184 10
179 0 "False" 15384 142 1954 3832
180 35 "True" 10012 415 620 11
181 29 "True" 12454 1055 280 451
182 20 "True" 14376 423 225 60
183 0 "False" 15704 127 210 42
184 52 "True" 14186 246 1797 1164
185 27 "True" 12807 420 363 60
186 0 "False" 15021 126 632 538
187 97 "True" 10783 4205 17064 991
188 97 "True" 12956 4305 17631 757
189 37 "True" 11302 1235 561 76
190 0 "True" 12206 6 0 5
191 36 "True" 10505 668 603 30
192 0 "False" 16090 78 1151 25
193 34 "True" 10377 203 562 22
194 52 "True" 11081 231 1682 1362
195 99 "True" 10819 13672 16774 3871
196 0 "False" 25091 84 5 16
197 47 "True" 10782 2189 1050 34
198 21 "True" 10754 761 233 44
199 46 "True" 12372 1335 1065 932
200 42 "True" 12798 137 1080 69
201 100 "True" 12105 23169 16230 28
202 0 "False" 15899 757 1109 39
203 25 "True" 13850 130 379 11
204 36 "True" 10327 732 670 59
205 0 "False" 15667 775 1126 39
206 54 "True" 13330 801 1920 4255
207 52 "True" 10942 227 1598 32743
208 33 "True" 14941 119 571 1852
209 0 "False" 15083 123 1007 35
210 0 "False" 17263 2499 1798 72
211 54 "True" 10142 686 1684 51
212 18 "True" 13373 138 226 51
213 99 "True" 10831 13441 16272 3893
214 43 "True" 9045 221 1000 8
215 18 "True" 9753 118 194 69
