"plate","filename","well","sample_ID"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A1"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A2","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A2"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A3","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A3"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A4","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A4"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A5","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A5"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A6","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A6"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A7","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A7"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A8","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A8"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A9","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A9"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A10","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A10"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A11","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A11"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","A12","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_A12"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","B1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_B1"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","B2","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_B2"
"plate1","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot.xml","B3","20120906, RV144 V2 Case Control, Set 3a, CH58 and HIVIG, IgG-Biot_plate1_B3"
